MyoMarmara_EMG_1,MyoMarmara_EMG_2,MyoMarmara_EMG_3,MyoMarmara_EMG_4,MyoMarmara_EMG_5,MyoMarmara_EMG_6,MyoMarmara_EMG_7,MyoMarmara_EMG_8,MyoMarmara_roll,MyoMarmara_pitch,MyoMarmara_yaw,MyoMarmara_accel_x,MyoMarmara_accel_y,MyoMarmara_accel_z,MyoMarmara_gyro_x,MyoMarmara_gyro_y,MyoMarmara_gyro_z,MyoITU_EMG_1,MyoITU_EMG_2,MyoITU_EMG_3,MyoITU_EMG_4,MyoITU_EMG_5,MyoITU_EMG_6,MyoITU_EMG_7,MyoITU_EMG_8,MyoITU_roll,MyoITU_pitch,MyoITU_yaw,MyoITU_accel_x,MyoITU_accel_y,MyoITU_accel_z,MyoITU_gyro_x,MyoITU_gyro_y,MyoITU_gyro_z
-1.0,1.0,1.0,1.0,2.0,-2.0,1.0,-2.0,-1.6846493,-1.5707964,-2.9881737,24.0,-446.0,1879.0,8.0,-16.0,1.0,0.0,-1.0,1.0,7.0,3.0,-3.0,-3.0,2.0,3.1392443,-1.5707964,2.8452957,1795.0,-5.0,900.0,18.0,-26.0,14.0
-1.0,-1.0,-5.0,-1.0,2.0,-1.0,1.0,-1.0,-1.684707,-1.5707964,-2.9881742,16.0,-441.0,1889.0,-1.0,-12.0,-2.0,0.0,-1.0,1.0,7.0,3.0,-3.0,-3.0,2.0,3.1392443,-1.5707964,2.8452957,1795.0,-5.0,900.0,18.0,-26.0,14.0
-1.0,0.0,3.0,0.0,2.0,2.0,1.0,-3.0,-1.684707,-1.5707964,-2.9881742,16.0,-441.0,1889.0,-1.0,-12.0,-2.0,-3.0,0.0,6.0,0.0,1.0,-2.0,-5.0,-4.0,3.1391127,-1.5707964,2.8452253,1798.0,19.0,887.0,11.0,-17.0,13.0
-1.0,0.0,3.0,0.0,2.0,2.0,1.0,-3.0,-1.6846868,-1.5707964,-2.9881809,5.0,-445.0,1898.0,-2.0,-13.0,0.0,-3.0,0.0,6.0,0.0,1.0,-2.0,-5.0,-4.0,3.1391127,-1.5707964,2.8452253,1798.0,19.0,887.0,11.0,-17.0,13.0
0.0,1.0,-4.0,1.0,-2.0,-3.0,2.0,-1.0,-1.6846868,-1.5707964,-2.9881809,5.0,-445.0,1898.0,-2.0,-13.0,0.0,3.0,-1.0,1.0,-2.0,3.0,3.0,-3.0,-1.0,3.1400518,-1.5707964,2.8444185,1800.0,-2.0,905.0,4.0,-17.0,26.0
-1.0,-2.0,0.0,0.0,-1.0,0.0,-3.0,3.0,-1.6846665,-1.5707964,-2.9881876,11.0,-446.0,1903.0,0.0,-15.0,1.0,3.0,-1.0,1.0,-2.0,3.0,3.0,-3.0,-1.0,3.1400518,-1.5707964,2.8444185,1800.0,-2.0,905.0,4.0,-17.0,26.0
0.0,-1.0,-4.0,2.0,-3.0,4.0,0.0,4.0,-1.6846665,-1.5707964,-2.9881876,11.0,-446.0,1903.0,0.0,-15.0,1.0,0.0,2.0,-1.0,1.0,-7.0,-2.0,0.0,0.0,3.140342,-1.5707964,2.8443522,1812.0,-16.0,894.0,19.0,-27.0,5.0
1.0,0.0,0.0,-5.0,-2.0,-6.0,0.0,-5.0,-1.6847243,-1.5707964,-2.988188,13.0,-448.0,1894.0,8.0,-16.0,1.0,0.0,2.0,-1.0,1.0,-7.0,-2.0,0.0,0.0,3.140342,-1.5707964,2.8443522,1812.0,-16.0,894.0,19.0,-27.0,5.0
-2.0,-3.0,-3.0,-2.0,1.0,-2.0,-3.0,-1.0,-1.6847243,-1.5707964,-2.988188,13.0,-448.0,1894.0,8.0,-16.0,1.0,-1.0,-4.0,0.0,-4.0,2.0,3.0,3.0,0.0,3.1402361,-1.5707964,2.8443167,1788.0,-7.0,890.0,19.0,-16.0,-2.0
-2.0,-3.0,-3.0,-2.0,1.0,-2.0,-3.0,-1.0,-1.6846648,-1.5707964,-2.9881277,8.0,-444.0,1883.0,11.0,-19.0,1.0,-1.0,-4.0,0.0,-4.0,2.0,3.0,3.0,0.0,3.1402361,-1.5707964,2.8443167,1788.0,-7.0,890.0,19.0,-16.0,-2.0
